"","top.ns.time_ID..df.1","top.ns.time_ID..df.2","top.ns.time_ID..df.3","top.AveExpr","top.F","top.P.Value","top.adj.P.Val"
"FBgn0020506",1.69338150225722,1.26076961357367,2.0939948751403,3.57807927346527,62.4329647135746,2.40092998692753e-09,3.03885708445418e-05
"FBgn0030425",1.84591849148872,0.23259603747513,1.02826686332702,5.8189705160795,50.1861647120399,1.26956327585005e-08,8.03443119121706e-05
"FBgn0260474",0.307858392422322,2.40392949810244,-0.173715931758741,6.08123315250872,41.2757191177632,5.45811356061836e-08,0.000230277811122488
"FBgn0043783",0.745478913950399,-1.7061632920784,1.1912212814365,8.9522783302927,38.6977176544284,8.76453141164399e-08,0.000232279513536076
"FBgn0011296",-1.58631089776923,-1.92535668170617,-1.04141267521074,7.2809669559723,38.4556204975136,9.17593084996746e-08,0.000232279513536076
"FBgn0002569",1.12894224541842,1.71772034748096,1.29056221778404,6.00630095779608,37.041812238483,1.20558849989935e-07,0.000254318894053767
"FBgn0261930",1.19260091247931,2.98655187727855,0.924244067784452,2.73016809490076,34.9233107735455,1.84641891097169e-07,0.000265311918540418
"FBgn0002563",1.33524534036664,-2.84194089387594,2.55722887821295,5.08117086298446,34.8359701444562,1.88003919298778e-07,0.000265311918540418
"FBgn0038463",1.19769804636781,-0.448808008199809,1.14838810312943,5.3633709580941,34.8192560506667,1.88655073624379e-07,0.000265311918540418
"FBgn0033439",-0.492378197311453,3.58125734365222,-0.589456402581603,3.98676599470634,34.1033616292991,2.19062340468904e-07,0.000277267204331492
"FBgn0027578",-0.823375446945866,4.29793222651342,-0.41144508330688,6.79251333221687,33.5360794175514,2.47071220521105e-07,0.000284289130739602
"FBgn0002562",2.332904309528,-1.33631709193191,3.83950177435079,0.000292007531527421,32.4301704446603,3.13965048369932e-07,0.000331154634768186
"FBgn0035484",1.4086204091942,0.0786289822003017,1.03047844706576,6.96785784459414,31.3276461352086,4.01461643058908e-07,0.000367525709233398
"FBgn0030157",1.29817697981744,0.141665388269626,1.21093367806738,5.92223602426561,31.2723125838189,4.0652286713025e-07,0.000367525709233398
"FBgn0035780",0.988212664941731,1.08517700258994,0.893364280166228,2.96105738394752,30.7973367056798,4.53026736292456e-07,0.000382263960083575
"FBgn0024289",2.40431676613009,-0.726601308517062,1.74991972010635,8.00350699615729,30.20350452166,5.19749626527031e-07,0.00041115443893454
"FBgn0032638",5.95935348415821,5.3096077725769,3.56466821301069,3.59440560036578,29.7869607517446,5.7310779570995e-07,0.000426695610017696
"FBgn0040102",1.19934233247842,1.49778905989239,0.580059139447485,2.83757660042757,29.4693926318112,6.17911860170661e-07,0.000434495023010003
"FBgn0033366",1.90367986373017,-0.00312625881242918,1.3721375588586,5.06234077267368,29.0411645415412,6.84658401723596e-07,0.000447529963628457
"FBgn0003390",0.526086337914522,1.87412624789889,-0.155009128159365,4.63125357529876,28.8920552003663,7.09762599743775e-07,0.000447529963628457
"FBgn0028532",1.30667714897623,4.21774355907353,1.72549653734945,3.84585045862674,28.4425737388613,7.9188760535148e-07,0.000447529963628457
"FBgn0032402",1.58866095097331,0.438676123470699,0.709435841696827,4.42711315489227,28.2953317610592,8.21060294638156e-07,0.000447529963628457
"FBgn0032066",2.3136240303168,6.19002547183486,2.98309046905274,2.67573606195112,28.2290859634598,8.34575852586946e-07,0.000447529963628457
"FBgn0053966",1.02250602209614,2.99693966944458,1.06192156612674,3.03878710014948,28.1542523915551,8.50143605857404e-07,0.000447529963628457
"FBgn0003867",0.208184211875701,1.71319829491386,-0.00883960028840927,5.81676312605614,27.8803059478746,9.09967175059287e-07,0.000447529963628457
"FBgn0051148",1.10365723586767,3.61917823143993,1.81571197604441,4.39492486788775,27.8393211211754,9.19315718917585e-07,0.000447529963628457
"FBgn0039613",-0.640932124785762,3.88486550912829,-0.653864439891477,3.35759191555186,27.5109716235732,9.98211037260593e-07,0.000467939151800272
"FBgn0039768",1.80718865470142,6.02165472490903,2.64440924682389,3.66119315196426,27.3507018937967,1.03944902393175e-06,0.000468458909331042
"FBgn0036738",1.72609846067321,7.68965392127956,1.16534247320378,5.46107622957421,27.1062665724881,1.10606255193534e-06,0.000468458909331042
"FBgn0001089",1.32561704706317,2.29731732576745,1.18420909432485,4.00740827735461,27.0910826562419,1.11035531958057e-06,0.000468458909331042
"FBgn0033296",1.57770539683835,4.3778247155007,1.71707033239915,8.01346023593245,26.5306277373259,1.28263301400214e-06,0.00050805474851674
"FBgn0002571",1.44462538233747,2.38350104201858,2.08898882851408,5.37805787417232,26.464759110503,1.30477313264983e-06,0.00050805474851674
"FBgn0001125",0.447693363888271,-0.046777813092805,0.95072927791418,8.39079366154531,26.365215828465,1.33904769383802e-06,0.00050805474851674
