"","adj.pvalue.t1.t0","adj.pvalue.t2.t0","adj.pvalue.t4.t0","adj.pvalue.t5.t0","adj.pvalue.t6.t0","adj.pvalue.t8.t0","adj.pvalue.t10.t0","adj.pvalue.t12.t0","adj.pvalue.t14.t0","adj.pvalue.t16.t0","adj.pvalue.t20.t0","adj.pvalue.t24.t0","adj.pvalue.t30.t0","adj.pvalue.t36.t0","adj.pvalue.t42.t0","adj.pvalue.t48.t0"
"FBgn0000045",0.348257587096706,0.329875248878658,0.32459827258811,0.506736468628942,0.29326743569525,0.247949353323332,0.365890392607018,0.347338654738529,0.136191964168404,0.134504512674308,0.0428006738127713,0.194094388877324,0.0332446979170434,0.046022823501625,0.0293837224361482,0.0170114646599627
"FBgn0000052",0.38786987940971,0.758595541422254,0.598637743245325,0.363307915055532,0.866273424611582,0.845891082084099,0.365413075656838,0.419119038953828,0.839349204770219,0.925159108381246,0.999836804115416,0.442899592242498,0.214247291951275,0.301456621007707,0.974536269819113,0.0479388737294663
"FBgn0000055",0.0740361791579635,0.261461719664625,0.00875057116495207,0.0138176978715328,0.0147510648544569,0.340626285187328,0.515758159148637,0.239934977562833,0.0103410593226892,0.0567357201154872,0.376235824494568,0.908084935937925,0.977587160319019,0.959573388310821,0.529450489818244,0.552020922291631
"FBgn0000078",0.33307522926129,0.184618054953919,0.273648419137081,0.122816908586768,0.279031079793985,0.308136023584599,0.191004849789722,0.198391761396577,0.991209805119554,0.528067928322495,0.0132249953267133,0.00342440994656512,0.00905831345899933,0.0721355157862607,0.022007361550941,0.0305360057786619
"FBgn0000079",0.328794684894121,0.188941237121189,0.253210513520263,0.0744010706489383,0.263453058364546,0.254407288327704,0.169608646360924,0.180732890037017,0.998663154603657,0.557363008498983,0.011643641784379,0.00344035606483854,0.0078854631120828,0.0676110612502683,0.0245053123220981,0.0259958900567219
"FBgn0000278",0.0163914305924099,0.0214649889431127,0.0613526814238167,0.132745758955669,0.239357760612727,0.17088687182989,0.260382739394614,0.293658749698889,0.587321223736939,0.454759459353362,0.144955038376837,0.240725275691037,0.255059217324108,0.259069437163515,0.131452978175325,0.315902837109963
"FBgn0000279",0.0152383954389228,0.0219455783734311,0.104039449901168,0.194094388877324,0.302986262568868,0.177360397084743,0.175251196588442,0.193834718144262,0.372599906069994,0.38552830505976,0.121902891677486,0.259436294974566,0.134120589958565,0.169349355524643,0.106256364867373,0.218428870034427
"FBgn0000299",0.637370298674016,0.332364921011815,0.0353073643921304,0.363564118079832,0.830066794148646,0.152711391755013,0.00400698376335401,0.00127906348892434,0.0391879377237498,0.0283032718927125,0.0334372755779369,0.00794415425455471,0.00300209419390887,0.062391871264018,0.148804678789277,0.353684896300338
"FBgn0000406",0.823105692728729,0.183245928737035,0.0014510599951381,0.00376161060645901,0.00146466323362426,0.00481520200220333,0.395388086131985,0.516925962830799,0.25932094932289,0.665210148923245,0.806496163766065,0.864878342616582,0.986080841806243,0.710164696611817,0.845379004035109,0.469534052088736
"FBgn0000527",0.346531358960147,0.0690247890814909,0.00024943680686949,7.35516061839092e-05,0.000644592749882988,0.000815086247515962,0.00127829841527738,0.0011306909229571,4.9807471986465e-05,0.000384339651945978,0.0842468263353719,0.386067212833452,0.0391409044230341,0.000216677511943591,0.0216172200015738,0.0622149804228216
"FBgn0000565",0.920694607392081,0.94641134986419,0.282334326879266,0.028720692664029,0.169089643320764,0.386709922888891,0.542821574162271,0.735425022613642,0.70855740335087,0.732234941182618,0.964771047313371,0.57937118561694,0.955620931044334,0.699449737667906,0.954097812596047,0.984711890573047
"FBgn0000636",0.218577002138368,0.000858961047428448,0.259274177604328,0.393314056926819,0.315910125353525,0.927377328491957,0.688681725423019,0.835903339197371,0.767820732113815,0.91474783099033,0.574405064904569,0.90208807562835,0.771206339279261,0.732259669042557,0.972045480670691,0.680848060338992
"FBgn0000927",0.798252860032775,0.234526783220933,0.0571590835215882,0.0440258189510416,0.0504550015368281,0.0234324296392964,0.0707253972407671,0.0592186697743448,0.213097023337458,0.0446573750654765,0.0163001655273235,0.0948747669614221,0.17880441466584,0.02233715228354,0.0974165960094917,0.114294809505541
"FBgn0001089",0.880719430759519,0.8600987162212,0.650146510034886,0.272409938389617,0.875752402825722,0.216127190394615,0.0613526814238167,0.092172392094821,0.0318810177890731,0.118841020288378,0.00456732576224361,0.000367952072535601,0.000860125165568871,0.00789983671793773,0.00155814900567035,0.00163883641280346
"FBgn0001114",0.899807494105881,0.803831968989952,0.117173966215263,0.461380997112378,0.415218260640979,0.534334713682362,0.00629845327127117,0.00820619540210655,0.0650462441136145,0.033512068285307,0.0585639961571355,0.080330911397933,0.0101462436644097,0.0515669386562836,0.0113418887482653,0.0496005169339591
"FBgn0001128",0.854364344732552,0.180616060927668,0.00133594255898458,0.00376245562763342,0.000561269761473679,0.000450126306593726,0.177477077581436,0.926742243271067,0.183895805163729,0.111014235470304,0.633968591635846,0.5347404339787,0.852811162196678,0.985655491714972,0.999788843800283,0.999251208782139
"FBgn0001225",5.92892187828345e-05,0.0658770847093057,0.599446387542368,0.974922681117517,0.946848570949681,0.71421752942006,0.297176908499458,0.216539619992153,0.440772048487392,0.738288100582818,0.416446076438508,0.176417736730856,0.066281108928593,0.205854791411588,0.140884780642788,0.586784375115173
"FBgn0001258",0.513911774778887,0.166670440017067,0.435634928826508,0.258587909535338,0.40015450089915,0.225058846623456,0.209383339363806,0.759526716410904,0.270866239809169,0.15194694141524,0.0927840794673461,0.872320967389692,0.289784630893503,0.33819451362495,0.0209333699500878,0.734445007430092
"FBgn0002565",0.890690774013376,0.721935653782916,0.207515931067148,0.205448328080245,0.0110105277929399,0.000444932907299512,0.000173845290889376,0.000680031966921766,0.00106663266775412,0.0763227345149018,0.121642995929493,0.36968011429767,0.231345214146116,0.616463998857288,0.895584812910274,0.847738717377358
"FBgn0002569",0.655402556139073,0.617529331619064,0.988363883264079,0.822159961740423,0.919568976081641,0.989825209084341,0.503684051914431,0.467501422252998,0.22824760310402,0.343624246089178,0.0380025354392572,0.0474172332337398,0.0760222874355252,0.0543539769058544,0.017314733419998,0.0115076884334097
"FBgn0002570",0.413287183103533,0.212287768071239,0.143455829266226,0.104449732494926,0.217684420328085,0.295223336962313,0.143171187294768,0.0700280232489085,0.00542050568936281,0.0115369713051385,0.00189697522153016,0.00213466266609688,0.00405348500553581,0.00211342493152465,0.000777942567357703,0.00244527148961882
"FBgn0002571",0.967808868141693,0.880035946594739,0.453242108966711,0.824586924496752,0.281342841099599,0.739438333960876,0.378877621920428,0.482270077920865,0.772641276831643,0.459789145477911,0.113399394589125,0.165230723700377,0.131759516442322,0.169068619656245,0.0194701552452946,0.018125891689232
