"","adj.pvalue.t1.t0","adj.pvalue.t2.t0","adj.pvalue.t4.t0","adj.pvalue.t5.t0","adj.pvalue.t6.t0","adj.pvalue.t8.t0","adj.pvalue.t10.t0","adj.pvalue.t12.t0","adj.pvalue.t14.t0","adj.pvalue.t16.t0","adj.pvalue.t20.t0","adj.pvalue.t24.t0","adj.pvalue.t30.t0","adj.pvalue.t36.t0","adj.pvalue.t42.t0","adj.pvalue.t48.t0"
"FBgn0002565",0.890690774013376,0.721935653782916,0.207515931067148,0.205448328080245,0.0110105277929399,0.000444932907299512,0.000173845290889376,0.000680031966921766,0.00106663266775412,0.0763227345149018,0.121642995929493,0.36968011429767,0.231345214146116,0.616463998857288,0.895584812910274,0.847738717377358
"FBgn0002570",0.413287183103533,0.212287768071239,0.143455829266226,0.104449732494926,0.217684420328085,0.295223336962313,0.143171187294768,0.0700280232489085,0.00542050568936281,0.0115369713051385,0.00189697522153016,0.00213466266609688,0.00405348500553581,0.00211342493152465,0.000777942567357703,0.00244527148961882
"FBgn0003068",0.531463723915875,0.277161114160377,0.0353779948621567,0.121679954024441,0.000252819159715409,7.54121412217769e-06,1.07682805482275e-06,1.58434943846101e-07,1.58434943846101e-07,1.58434943846101e-07,0.00194952861021117,0.977270401549775,0.0018718277493244,1.58434943846101e-07,3.84929885466638e-05,0.981923367545806
"FBgn0004240",0.0405094805441268,0.0127876457945062,0.00807875305763504,0.00403367796252623,0.00498905880551996,0.00490383747939934,0.00810572883595587,0.00628935972480147,0.0128154835773421,0.017316152306204,0.00498905880551996,0.0966787808408438,0.00632597845112688,0.0396370661956928,0.00977330321334692,0.0152974503519689
"FBgn0005660",0.000673808329396291,0.00308661764540653,0.140082344081718,0.410366025234926,0.0791836119298134,0.468176495773624,0.408585231950915,0.514326320736135,0.354539041254885,0.70216237332922,0.433511234364979,0.708263092707921,0.621101927289021,0.478907267449584,0.953813021254821,0.386478800725861
"FBgn0010052",0.637149761132492,0.186376220874467,0.216120359801729,0.643064552661442,0.49133021484618,0.681857576560186,0.153861225660591,0.00200713962719527,0.000890605135323732,0.000841448305038787,0.386267637015833,0.87980931701464,0.861866757526041,0.00609155323494519,0.0977151816654878,0.962341652867652
"FBgn0010388",0.189575615968466,0.068149323193126,0.0262112779328567,0.0118092131759882,0.010601600577689,0.00443817042439267,0.00867509441675359,0.00657186893067889,0.0141578504178272,0.0107960000423397,0.00376161060645901,0.0573588684158791,0.00343675455406575,0.0207143048329871,0.00859431819611435,0.0109893188342925
"FBgn0014396",0.0988997988423219,0.0326691103909367,0.0277150483471538,0.12636659457033,0.894267503517618,0.0248401330506312,0.000834888987731613,0.000232109388603791,4.47216933670951e-05,3.84929885466638e-05,0.000478772881847734,0.404019559918183,0.914833347070645,7.0530625380811e-05,3.72919921557996e-05,0.843103788137794
"FBgn0014859",1.16034264708764e-06,0.000128193552433801,0.0886482279414735,0.398843139886496,0.212961485402615,0.516378353583162,0.473195112944753,0.498986697948261,0.977333090327457,0.902242704667137,0.89903537319004,0.58020721355144,0.687198120104543,0.405320109658962,0.505938402335023,0.570477300693064
"FBgn0014865",0.0142264905852134,0.00577557741308679,0.00141820234310962,0.000585611420641123,0.000734546427517773,0.000497197918659165,0.000910501504219486,0.000663386976952145,0.000916847669454884,0.00159066476806384,0.000634066070583187,0.0124115738383657,0.000328673200936645,0.00166196293643843,0.000892851345417975,0.00179058234550458
"FBgn0015316",0.0765244016041429,0.0067458431399809,0.00411266517055948,0.0035263141844289,0.0272642258194073,0.405013351817338,0.437418668538341,0.0323862571687154,0.00024217608091617,0.00448694564504732,0.341756509581882,0.908415967605212,0.367559941943276,0.039519378995417,0.101510609878071,0.362888843096727
"FBgn0015570",0.807678350947362,0.349613158758063,0.000352157845695496,0.00113910425569151,0.000371972622362115,0.0117374492536707,0.94980049923299,0.523862273774597,0.477292399350053,0.509616710999216,0.98458335678891,0.828399607588062,0.339826963423657,0.444270733407547,0.655974514760034,0.336077539606898
"FBgn0016076",0.170660046938919,0.344759915200325,0.38744321831166,0.54087995125072,0.0298180852938109,0.00106388226354986,2.74026460616e-05,5.89456630017077e-06,6.40799649987178e-06,2.62903431882918e-05,0.0504550015368281,0.72165638569963,0.0699591401256821,5.76791348555502e-06,0.00620316193569892,0.32548205482449
"FBgn0022772",0.704294100136173,0.618589644692209,0.0219932878959503,0.0333084196788613,0.00629845327127117,0.0020708334596667,0.0062589992603988,0.0430562045693073,0.167538201089826,0.371133726118798,0.240348371411342,0.360857430264764,0.124778975136636,0.238628496983568,0.349231745712293,0.609399983049462
"FBgn0025583",0.287586522769785,0.0164728023039728,0.00309572056870133,0.00211342493152465,0.00355308342210758,0.00342440994656512,0.00731312689842082,0.0487779970427312,0.0173221936594597,0.00875595178364712,0.0079694568041713,0.212398671710206,0.00811963537867696,0.17118093219072,0.00892051093075155,0.332246417660498
"FBgn0028532",0.701378912055524,0.242524353306863,0.914846711704172,0.203544943748204,0.455979009691713,0.278706999681984,0.0248401330506312,0.0210450157087099,0.0312212980922053,0.129444396577727,0.0273917926759353,0.0215833385043369,0.00811963537867696,0.0114287164762628,0.00480061106466922,0.00525048227436849
"FBgn0028841",3.74113185202364e-07,1.00267200277113e-06,0.000994918070150176,0.0142434954971105,0.096304057081496,0.149649635780074,0.159574887013956,0.0540521200244513,0.192018054854702,0.0918519389231861,0.04162760240788,0.0981109490870304,0.497703854927334,0.307790398915716,0.158923912563718,0.830476878011818
"FBgn0029795",0.373698000503725,0.0274118934402818,0.116749045472035,0.0205575766081683,0.232884836200488,0.0217369571488036,0.00176900703234461,0.000917845378755062,0.00289573253205534,0.00962396310828022,0.0169251627207247,0.000846761516000734,0.000313207555133602,0.000195720317978119,0.00066871198099048,0.000986445257182206
"FBgn0030929",0.0739635591792014,0.00670079174725897,0.00660106102690033,0.011265851123767,0.00167075369186285,0.0298180852938109,0.0821442556778994,0.011274908659688,0.00271434358138598,0.392467420370609,0.0219499979239228,0.0750483741949054,0.00813080868514642,0.021378492270654,0.224843086424626,0.13755268108214
"FBgn0030994",0.00120797205542277,0.000947382452067344,0.16639352488247,0.0872532284226608,0.241911960630583,0.0307149517027622,0.018125891689232,0.0965037877073172,0.320392504881659,0.401949946525931,0.250501749530601,0.305652393050811,0.0429551397433201,0.0644896365595458,0.118796993743751,0.0635582227813885
"FBgn0031034",0.0349678353904733,0.0108413884401335,0.0733629309183065,0.10169267708132,0.00290532983144576,0.0700091905285863,0.0466270147978883,0.018048209979167,0.00567752294083388,0.224842053285427,0.00675652716853516,0.123685593022185,0.00974088679286068,0.068149323193126,0.0587990981428023,0.0534470350702175
"FBgn0031432",0.0216593383023564,0.0186320410048747,0.0316594383433625,0.133535848934589,0.413254191647643,0.952224071315602,0.423381253377236,0.0772311880237326,0.0188519464945956,0.254553570212698,0.422697971648057,0.0531274824969664,0.016235984178021,0.00527411734746722,0.0257694675500016,0.00540380697373128
"FBgn0031942",0.113254823067157,0.0354379791106192,0.0391663380223069,0.046022823501625,0.0145322434725912,0.00392999693234934,0.0220535482756545,0.0125456409176946,0.0043368723547686,0.01675464515811,0.014077150054928,0.171556551379333,0.0146297823612035,0.00385247639943221,0.0155399994013358,0.0216875619642353
"FBgn0032049",0.87476201074732,0.575822270469388,0.0714749300042811,0.0224903641181994,0.124047753436203,0.0303483506948874,0.00842573255934965,0.00958206317351109,0.0378442934878928,0.315634557445639,0.0153805770730314,0.000501393748421771,0.00111372839621674,0.00839741266729827,0.0761049572553473,0.00657186893067889
"FBgn0032066",0.831236693818386,0.734083707544163,0.43973589885763,0.924158270503798,0.990235128935948,0.188201983954891,0.00757967591677001,0.297819697145608,0.166779146758154,0.0686533124332188,0.0377801830413248,0.0128154835773421,0.00252703662356782,0.0153596492851788,0.0094555541442489,0.00105653428940874
"FBgn0032068",0.46281161612557,0.875912024888114,0.58712159795797,0.63188036823037,0.593555846877816,0.12397670756886,0.0176684283157506,0.123685593022185,0.176365152503842,0.202860419424124,0.0707531966106014,0.0124737362368351,0.00628699898980049,0.0269035087993221,0.0504394829731929,0.00237064750273506
"FBgn0032299",0.774721164405915,0.021139237823432,0.003209719436622,0.0234518773840122,0.000220244696876029,9.19314615227873e-05,1.35180019591626e-05,0.000170830002015429,9.29760059281278e-05,0.00961491924666161,0.615013045983533,0.883892799720532,0.00508965693149478,0.00024943680686949,0.753413441018373,0.502264400585487
"FBgn0032381",0.784238664341051,0.107115361864958,0.0804673264613066,0.00629845327127117,0.00800950764611008,0.00471637152151549,0.0145815974722736,0.0592027005196136,0.029008919033803,0.034070221959629,0.0548818420648705,0.635620445081015,0.00732697999302839,0.010934472465625,0.231913528364952,0.207491038254953
"FBgn0032638",0.896246957654531,0.678741818313113,0.807265567982944,0.818224840793909,0.363199287343598,0.186723446490552,0.112321141320463,0.218802848375542,0.174465117492973,0.100301165429297,0.0406509516597457,0.0928845408956436,0.00399905253518512,0.0697119904748241,0.00119028489543322,0.214456429969883
"FBgn0032639",0.870286524820058,0.468634242834556,0.293546382478668,0.165522258804741,0.0533042166561886,0.0160610311278181,0.0144113762494258,0.0494229388395457,0.0307149517027622,0.0165378312090684,0.00834407118367374,0.16437722681714,0.00223340957606468,0.0852953749795446,0.000745692201466626,0.336077539606898
"FBgn0033216",0.940413871052413,0.465620725187958,0.316817597603932,0.0186320410048747,0.185233263071643,0.123935260662042,0.0518902695992175,0.0560497479191697,0.0477277673420594,0.0282931390851708,0.00161870053569408,0.00198787201455916,0.0494229388395457,0.166811762511083,0.00129090160763096,0.0512298169311441
"FBgn0033296",0.681176549627966,0.288257004911393,0.0971094206288612,0.0463168581113763,0.243353223238965,0.129218884135659,0.0270862253757949,0.0221885739310058,0.00546255452223776,0.0106769556088927,0.00491349401122496,0.00128831722209946,0.00119028489543322,0.0012759230217693,0.00177665455404582,0.000927203827943843
"FBgn0033297",0.371139500742303,0.114563281869129,0.0496255649874686,0.0163001655273235,0.147288622210038,0.157182321726249,0.0272569347667677,0.0111598203379004,0.00156473507794667,0.0032445406139832,0.003632611033152,0.000732409152191225,0.000859104217082612,0.000675653912999542,0.000947382452067344,0.000881178218580549
"FBgn0034160",0.00195403072638954,0.00427333942245183,0.127861485146644,0.263511805684806,0.0403675898061999,0.406416192529056,0.596110647958777,0.134992485094549,0.330543361987251,0.830451832723464,0.623465057279569,0.666113337287736,0.19231755396953,0.248944398435266,0.574539210316534,0.232307814459586
"FBgn0034329",0.347619765530348,0.0412593871225616,0.00803691781765623,0.00767013157804599,0.00600673884821267,0.00427333942245183,0.0154407808382509,0.0784360966942172,0.0868833058943088,0.0502442627643443,0.0247365736482516,0.254119774412588,0.0117537567628562,0.224463873755119,0.0223055663910425,0.504949679641077
"FBgn0034407",0.00681708208628328,0.00248271384640696,0.00185071877952441,0.00101723252914147,0.00142386067396025,0.00152550108228311,0.00275756538591123,0.00176646458242874,0.00469260326652363,0.00810756971675039,0.00165761382674254,0.0668173196652451,0.00174548908308313,0.00881228070902622,0.00465259135024884,0.0105169563665417
"FBgn0034663",0.432127541864726,0.247143865352639,0.123205819548723,0.0473519476431777,0.319736008794866,0.443455957464208,0.157829413604303,0.0647877406513104,0.00610463436777319,0.0107380742466579,0.00165061456517689,0.00149545551050072,0.00335764765901005,0.00155814900567035,0.000574989255534499,0.00222563748027454
"FBgn0034664",0.461196551350209,0.272601120105004,0.233331118575009,0.164944514836811,0.384450913804667,0.587516724362499,0.205857306272066,0.156109809050277,0.0349678353904733,0.0772113964487942,0.0165378312090684,0.00743398816267543,0.0148397576385208,0.00520869368161791,0.00259328512957015,0.00589651241052013
"FBgn0035619",0.395351464871304,0.974372456936042,0.0597291265926941,0.00244288734096081,0.00985606683929684,0.00066871198099048,0.000350043644555935,0.00107957745613402,0.000991705798717377,0.00912272762293954,0.000734546427517773,6.76513453856871e-05,0.000218134842098683,0.000851176151335728,0.0033242600153627,0.00197954930297899
"FBgn0035620",0.00674326229135484,0.940899946883879,0.00710215606710962,0.00185736133660092,0.00238814995881321,0.000214862791587671,0.000110886321087325,0.000352157845695496,0.000189755044763819,0.00244382821391047,0.000207386451947633,2.10854830407526e-05,5.21440622787489e-05,0.000137611878731096,0.000820912192494053,0.000816056155002953
"FBgn0036738",0.993071977146017,0.397976379056924,0.00976589003964128,0.00339740770121188,0.0073064347336478,0.00271997541405128,0.000947382452067344,0.00065969961292345,0.00014949777152037,0.000447628886675905,0.00335164708468277,0.000832362376414772,0.000736016299383969,0.000227662579235564,0.000675653912999542,0.00339470504702666
"FBgn0036767",0.00167075369186285,0.0011180833442101,0.100645108349514,0.105192815693752,0.113704468937097,0.33687706679287,0.370441717693096,0.141293011536741,0.128369823021939,0.537739846377332,0.325827669294985,0.256981540096165,0.123091791048996,0.0710987268581351,0.177519297380554,0.0266609240398372
"FBgn0037635",0.910640315882598,0.244396906103729,0.00078538319144288,0.00212189729406376,0.0169414648435227,0.116930005611563,0.995289219852777,0.871814312008039,0.44263235671577,0.715572149073119,0.527293108855062,0.957325197991702,0.409583581954839,0.200597176525063,0.971170276180652,0.996323258396533
"FBgn0038082",0.000328673200936645,0.0038466422908055,0.132150520580145,0.0479219940779052,0.151307427840237,0.56077996770888,0.0713376119291871,0.0146115737571238,0.00213497198566298,0.00645812564478737,0.0403437422397628,0.00484751621908758,0.0300458486738267,0.0165863745473276,0.00300452107646684,0.00867048824526957
"FBgn0038299",0.140651607128923,0.00861519221918507,0.000947382452067344,0.000675512955285693,0.000133847263562744,0.000350043644555935,0.000832362376414772,0.00527411734746722,0.00746345351224892,0.00514970451867432,0.00385019527771563,0.175982312404609,0.000444932907299512,0.0568082212599389,0.00252145268254847,0.0807758231123502
"FBgn0038451",0.617418748200428,0.16708949995213,0.0230243531210514,0.273669255379369,0.6136663955114,0.733781988978439,0.526299374559108,0.00039691671683331,0.0014169689093847,0.32368277804627,0.918764969256084,0.698627720305205,0.86778918171562,0.000435720112006476,0.876036706649269,0.67689471972873
"FBgn0038701",0.0576265504905905,0.0157196485777618,0.000208082351975123,0.00111207923881369,0.000203789267235145,0.000578218737286154,0.00469646981384773,0.00106663266775412,2.75216134980154e-05,6.49191107821975e-05,0.60556079951139,0.798311455825503,0.003632611033152,0.0010644835614334,0.455921774510956,0.903748745765535
"FBgn0038719",0.44791342525899,0.396164764062089,0.943943223284989,0.81569593720919,0.842038409835278,0.545059360759941,0.752763044049153,0.953163075139375,0.307189375990146,0.0043368723547686,0.000189229412635917,0.269332978336589,0.429395582402849,0.260582875877,0.00210962901452226,0.105753321027932
"FBgn0038914",0.993854142133454,0.220288049972866,0.000511485080838988,0.000892851345417975,0.000441976514056918,0.00789983671793773,0.161047112264604,0.202619349468021,0.265087443591699,0.870038628310108,0.71343816436269,0.873106546492295,0.807147227774357,0.896390562963553,0.699947956970293,0.569223631489069
"FBgn0039092",0.666151108144205,0.0388008078863197,0.0510162668802491,0.146858408222124,0.0122912451537397,0.273181333294301,0.179766641550887,0.0210790145689689,0.0491211416928491,0.724080604983707,0.0099296464346611,0.0064650556037666,0.00635101731897729,0.0389438374775259,0.11495667508078,0.0170606616020431
"FBgn0039298",0.502884699230261,0.0133514631067304,0.000108699105749756,0.000116938380219949,2.74026460616e-05,1.40757562245511e-05,8.4311443131329e-05,0.000756076761516125,0.0729760324282904,0.953885401807218,0.626407553805659,0.895797294300705,0.000894292322236114,0.0873761391577786,0.22712073203994,0.781530941721752
"FBgn0039299",0.400222271256924,0.10689956878811,0.0176684283157506,0.04469589915854,0.0576265504905905,0.0103326212052037,0.00278259706904934,0.00504682873563591,0.129753324610348,0.561326515276387,0.964841769293088,0.454760038030196,0.0160148707374915,0.211908891754211,0.619933978105776,0.839171681541508
"FBgn0039325",0.704471316152281,0.169396273289916,0.230780544340893,0.323376561686646,0.132150520580145,0.0310505483696766,0.00710138197468294,0.000892851345417975,2.55505486117375e-05,3.84929885466638e-05,0.408769081623662,0.92888576412949,0.17741256327873,0.000262545822582881,0.0988149426823932,0.946977977092714
"FBgn0039342",0.334817006848951,0.402675746573989,0.114044104111303,0.00184493219602177,0.0875171614409957,0.0447220627075083,0.00911800676782235,0.00383230498915481,0.000771326854010145,0.00174277151260126,0.00817750607958157,0.000252819159715409,0.000626144541604605,0.000873937754751866,0.000991705798717377,0.00324189120846428
"FBgn0039593",0.00323572618565525,0.000468035588854414,0.000668399807601178,0.0011034251375795,0.00285187876017367,0.00566175423201839,0.0043368723547686,0.00180471540668379,0.00104204937142721,0.00546163229534222,0.0128983830552017,0.100956586174902,0.000967835054409495,0.016235984178021,0.00557776907012701,0.200735193676403
"FBgn0039768",0.433048553650417,0.493557789628845,0.68589471340779,0.39577319249845,0.505867512588171,0.160525210386876,0.044333236218835,0.0832979146940448,0.0676931077435915,0.153026704550009,0.033512068285307,0.0264302520110831,0.010822977031493,0.0223640939994363,0.00802854652707955,0.00361390213712223
"FBgn0039873",0.123545202907076,0.00476092948099649,0.122979497807976,0.172713907458524,0.0193985072913068,0.00400725301641176,0.00111372839621674,3.05552928864076e-05,3.74113185202364e-07,6.94500770639477e-05,0.807738493364715,0.977401151160777,0.0374901760081024,1.34515288190478e-05,0.289479419103983,0.921489480535426
"FBgn0040609",0.985497830234238,0.38179366956955,0.0599015635579865,0.0223055663910425,0.0188799194258424,0.119464530820769,0.433012852341449,0.56474941212431,0.0251479405459757,0.00987263025117095,0.00722576890220799,0.212179179206259,0.0426554977710286,0.140499244953063,0.00784491809400757,0.280693478484526
"FBgn0040653",0.342334125562627,0.0268849089013133,0.00404797707730502,0.00135825443595174,0.00206407557562255,0.000960281429136115,0.00221970437173019,0.0124959600829987,0.015230926928567,0.00732436226220584,0.00319883778439674,0.103156275993986,0.00116854425066969,0.0464682736431064,0.00503553840845138,0.230306051223867
"FBgn0040735",0.953184150650713,0.577770719350241,0.170076706551324,0.0107380282551734,0.0113423753117938,0.00770852452687591,0.001685946771016,0.00560103306683283,0.00813290823223647,0.00584926764831687,0.00514411692467079,0.232523502102925,0.00493488823174734,0.187636693249596,0.0130381960626701,0.289746016874455
"FBgn0040736",0.10650503417185,0.00484915759581107,0.00192888089314123,0.00148911049448073,0.00339470504702666,0.00284171933577144,0.00504862915140631,0.0315081994236443,0.0169679273026856,0.0108772933520006,0.00789983671793773,0.164015881710434,0.00421804121133098,0.103518054853456,0.0134763744657486,0.295776133594668
"FBgn0041182",0.201930081671305,0.0214233684128491,0.0257163451557117,0.0267150856489355,0.00813290823223647,0.00195403072638954,0.00268561645469627,0.00687890935677835,0.0509735382313415,0.0436125406014014,0.0102061858322984,0.460982745144603,0.00231318400822296,0.253185013294372,0.219911989321003,0.436307140611893
"FBgn0041579",0.00825166662386311,0.00404399458201873,0.00322643115545953,0.00275756538591123,0.00355308342210758,0.0042157368851178,0.0114304880836109,0.00504862915140631,0.0188519464945956,0.0207143048329871,0.00393325988848897,0.08290592572199,0.0040966322570977,0.0159583697000629,0.00797206254203823,0.0171876472725767
"FBgn0042086",0.00170396357421134,0.000832362376414772,0.0334372755779369,0.0425736655671317,0.0463626114790025,0.376350951856997,0.25266499772773,0.0507681484241276,0.0297342306132785,0.413263779799587,0.146100105581744,0.107982369747278,0.0534477939438726,0.0125456409176946,0.038454386942073,0.0246828077855119
"FBgn0050091",0.972152769151631,0.532623025361186,0.120467672206735,0.0524517831819234,0.017316152306204,0.019865787447065,0.00836392792342287,0.0200433641715523,0.0202537544312934,0.0280142196973612,0.0505993647044499,0.0829702843250717,0.00532631669753654,0.157829413604303,0.0164628712134232,0.51262782019275
"FBgn0050160",0.00170396357421134,0.000832362376414772,0.0333146646679932,0.042462091041445,0.046219362588308,0.37587062230593,0.252194824629056,0.0506726062069381,0.0296250356323783,0.413287183103533,0.145660129995515,0.107861186476384,0.0534350465921301,0.0125111680878593,0.0382974492215271,0.0246330138623232
"FBgn0051041",0.0192645676038154,0.00218093561570848,0.018048209979167,0.00959511313705116,0.0306764217067071,0.140654830769616,0.240229948798109,0.189236685860729,0.0857532365665404,0.986839421528403,0.877597824548528,0.986833488265296,0.853745957811678,0.17948546372321,0.342509293193263,0.905672372478525
