"","logFoldChange.t1.t0","logFoldChange.t2.t0","logFoldChange.t4.t0","logFoldChange.t5.t0","logFoldChange.t6.t0","logFoldChange.t8.t0","logFoldChange.t10.t0","logFoldChange.t12.t0","logFoldChange.t14.t0","logFoldChange.t16.t0","logFoldChange.t20.t0","logFoldChange.t24.t0","logFoldChange.t30.t0","logFoldChange.t36.t0","logFoldChange.t42.t0","logFoldChange.t48.t0"
"FBgn0038914",0,0,-3.46975818210224,-3.2313559337799,-3.53093587402249,-2.4385214161993,0,0,0,0,0,0,0,0,0,0
"FBgn0039092",0,0,0,0,0,0,0,0,0,0,2.91194503721851,3.0981750664399,3.10414398912278,0,0,0
"FBgn0039298",0,0,-2.70294006706521,-2.6857757316214,-3.09696143953847,-3.32683210347046,-2.77245611089848,-2.1867807641652,0,0,0,0,-2.13553489791266,0,0,0
"FBgn0039299",0,0,0,0,0,0,-2.34324413876039,-2.16477009398388,0,0,0,0,0,0,0,0
"FBgn0039325",0,0,0,0,0,0,0,0,-2.19778156506071,-2.08998756683777,0,0,0,0,0,0
"FBgn0039342",0,0,0,0,0,0,0,0,0,0,0,2.1976283579421,2.00071181919558,0,0,0
"FBgn0039593",2.33407023039325,2.96663003112765,2.85433665732313,2.6630685256049,2.37341757573317,2.1664085402976,2.24382118258455,2.51034799437362,2.6832220142456,2.17471242316135,0,0,2.70630955175734,0,2.17012890270212,0
"FBgn0039768",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.30237938614548,3.68781278186849
"FBgn0039873",0,0,0,0,0,0,0,-2.24251562538941,-3.27514193381044,-2.07356938538944,0,0,0,-2.46566269419707,0,0
"FBgn0040609",0,0,0,0,0,0,0,0,0,-2.28547847322863,-2.39012157907058,0,0,0,-2.36273122178037,0
"FBgn0040653",0,0,2.4201009047085,2.77491380774644,2.63985536121779,2.89778570302763,2.61507134201666,0,0,2.23262802860407,2.49793485528007,0,2.82331449196643,0,2.35031433174913,0
"FBgn0040735",0,0,0,0,0,0,2.35829395781692,2.02012716763465,0,2.00874586565866,2.04125222721501,0,2.05387482145346,0,0,0
"FBgn0040736",0,2.60093792397086,2.92921216586184,3.02437234272962,2.727739170589,2.7932939128742,2.58628291821012,0,0,0,2.43014935877929,0,2.65134662377706,0,0,0
