"","logFoldChange.t1.t0","logFoldChange.t2.t0","logFoldChange.t4.t0","logFoldChange.t5.t0","logFoldChange.t6.t0","logFoldChange.t8.t0","logFoldChange.t10.t0","logFoldChange.t12.t0","logFoldChange.t14.t0","logFoldChange.t16.t0","logFoldChange.t20.t0","logFoldChange.t24.t0","logFoldChange.t30.t0","logFoldChange.t36.t0","logFoldChange.t42.t0","logFoldChange.t48.t0"
"FBgn0000045",0,0,0,0,0,0,0,0,0,0,0,0,-1.0215356407341,0,-1.04363457763126,-1.14326179707814
"FBgn0000052",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12900416717272
"FBgn0000055",0,0,-1.29812363528309,-1.21519775856336,-1.20352430411455,0,0,0,-1.26909186645861,0,0,0,0,0,0,0
"FBgn0000078",0,0,0,0,0,0,0,0,0,0,0,1.14004640981661,0,0,0,0
"FBgn0000079",0,0,0,0,0,0,0,0,0,0,0,1.11112135510993,0,0,0,0
"FBgn0000278",8.14326331131898,7.79729222676179,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0000279",7.16936245156024,6.76343161759271,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0000299",0,0,0,0,0,0,0,1.14011938457032,0,0,0,0,1.02808040005916,0,0,0
"FBgn0000406",0,0,-1.88016851062684,-1.66867500920483,-1.87797562782963,-1.613397395857,0,0,0,0,0,0,0,0,0,0
"FBgn0000527",0,0,-1.67862998499559,-1.90558478873843,-1.51774536452524,-1.47065651024241,-1.38511994955806,-1.40441537481558,-1.98230323290862,-1.60822158930914,0,0,0,-1.70711580409851,0,0
"FBgn0000565",0,0,0,1.34762611664793,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0000636",0,1.51078679817713,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0000927",0,0,0,1.08134438776912,0,1.20999708788817,0,0,0,1.07821094312041,1.28393474138688,0,0,1.21869404572447,0,0
"FBgn0001089",0,0,0,0,0,0,0,0,1.05334319537528,0,1.41347180619924,1.93651777144827,1.74641867001606,1.31024261773531,1.62095072470225,1.61155869206285
"FBgn0001114",0,0,0,0,0,0,1.04245347209587,1.0021235228372,0,0,0,0,0,0,0,0
"FBgn0001128",0,0,0,0,-1.0866669601619,-1.11243264712155,0,0,0,0,0,0,0,0,0,0
"FBgn0001225",1.17164099863246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0001258",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01960723865144,0
"FBgn0002565",0,0,0,0,-2.51991707270904,-3.82108901615005,-4.21998425488004,-3.62965654207396,-3.42118875783054,0,0,0,0,0,0,0
"FBgn0002569",0,0,0,0,0,0,0,0,0,0,1.41295915184935,1.35419985803191,0,0,1.6152516720502,1.71763413905743
"FBgn0002570",0,0,0,0,0,0,0,0,2.14153887048181,1.92404228319826,2.45390573525214,2.42007872808092,2.22768941674478,2.42402399096264,2.74782077108897,2.37939711944904
"FBgn0002571",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85877447967861,1.87950187966354
"FBgn0002609",0,0,0,0,0,0,0,0,0,0,0,0,1.56531587768099,1.60445005183154,0,0
"FBgn0002641",0,0,1.01870661518495,0,0,0,0,0,0,0,0,0,0,1.10734694074585,0,0
"FBgn0002719",0,0,0,-1.20392867474469,-1.25241439755088,-1.25600940555181,0,0,0,0,0,0,0,0,0,0
"FBgn0002930",0,0,1.08884868721177,1.06579547130896,0,1.00065012416316,0,0,0,0,0,0,1.03130931009167,0,0,0
"FBgn0002939",0,0,0,0,0,0,0,0,0,0,0,0,2.0600129140611,0,2.15106159569819,0
"FBgn0003068",0,0,0,0,1.23287814214036,1.76367884215039,2.05544612990576,2.40107877955326,2.38843445213464,2.40510580212625,0,0,0,2.40160158921845,1.49151922367781,0
"FBgn0003076",0,0,0,0,0,-1.05241536438725,0,0,0,0,0,0,0,0,0,0
"FBgn0003328",0,1.19333099775288,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0003358",0,0,0,0,0,0,0,0,0,0,0,1.82190682014349,1.71437613895545,1.98142744186504,1.55595758054237,1.59229623858834
"FBgn0003390",0,0,0,0,0,0,1.29031208754899,1.17224255920151,0,0,0,0,0,0,0,0
"FBgn0003499",2.13573240249297,1.15179014409725,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0003863",0,0,0,1.11885602243935,0,0,0,0,0,0,0,1.12113354335586,0,0,0,0
"FBgn0004228",0,0,0,0,0,0,0,0,0,0,0,0,0,1.09152856923734,0,1.10092783539807
"FBgn0004240",4.98491544942436,6.04001442662741,6.45339427967754,7.10897643054501,6.90616307014073,6.9258565071181,6.45029846872116,6.69568022892,6.03701837107103,5.76955200946905,6.90723488717407,0,6.68837738873293,5.00417651279758,6.28362888817158,5.87848744104295
"FBgn0004396",1.18905085612114,1.42191257104167,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0004649",0,0,1.03377048384713,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0004797",0,0,-1.01321737031748,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0004919",0,0,0,0,0,0,1.19293388493496,1.13482248868303,1.01874415653151,0,0,0,0,1.15685036763424,0,0
"FBgn0005626",0,0,0,0,0,0,0,-1.00045392830506,-1.16652727779211,0,0,0,0,0,0,0
"FBgn0005660",2.75269665834826,2.27185339301904,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0005664",0,1.74609822156017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0005670",0,0,0,0,0,0,1.43116725029354,1.33720910665406,1.4678617835106,0,1.31579789969662,1.18416907274676,1.66324821884586,1.46873552697437,1.59468538118188,1.49943641628858
"FBgn0010038",0,0,3.84903085471321,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0010040",0,0,4.68169575071697,0,3.98187325838032,0,0,0,0,0,0,0,0,0,0,0
"FBgn0010041",0,0,3.10657351355276,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0010043",0,0,0,0,0,-1.29829112086219,0,0,0,0,0,0,0,0,0,0
"FBgn0010044",0,0,0,0,0,0,0,0,0,0,0,2.23967452829707,0,2.36490901086669,2.6336807291974,2.25836287143552
"FBgn0010052",0,0,0,0,0,0,0,-2.03673509703017,-2.2521335088043,-2.27033879656417,0,0,0,-1.76419532552119,0,0
"FBgn0010222",0,0,1.58793041150877,1.94603020995924,2.10748440165972,0,0,0,0,0,0,0,0,0,0,0
"FBgn0010223",0,0,0,0,0,0,0,0,0,0,0,1.12662780718974,0,0,0,0
"FBgn0010241",1.22257796496288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0010246",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02936384002238,0
"FBgn0010357",0,0,0,1.17411579981641,0,0,1.01553605859582,0,0,0,1.01955030247814,1.4410831029418,1.07998437325248,0,0,0
"FBgn0010358",0,0,0,1.14619777478617,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0010359",0,0,0,1.1473682697635,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0010383",0,0,0,0,-1.02592216046216,0,0,0,0,0,0,0,0,0,0,0
