"","top.ns.time_ID..df.1","top.ns.time_ID..df.2","top.ns.time_ID..df.3","top.AveExpr","top.F","top.P.Value","top.adj.P.Val"
"FBgn0037396",4.94720261197932,5.35672881540572,4.4875909788661,4.61127964058015,245.207049718096,6.53885566187539e-08,0.000455496781449284
"FBgn0002565",-2.18371445329485,-3.24388827984565,-4.11252456741276,4.79434302011038,234.6017638399,7.72045761530697e-08,0.000455496781449284
"FBgn0031701",8.37958133507649,7.67364016715377,7.579994357131,5.94111392111004,214.554440036685,1.07963209634815e-07,0.000455496781449284
"FBgn0262531",5.89865520284583,5.60325747655361,3.50665525919118,3.02380627532557,158.066807021507,3.38889525613451e-07,0.00107233118142236
"FBgn0028537",2.31968455851093,3.90777196047314,5.12065688016166,2.98100098747917,131.893366314589,6.65549417761142e-07,0.00140397649676713
"FBgn0260954",2.31968455851093,3.90777196047314,5.12065688016166,2.98100098747917,131.893366314589,6.65549417761142e-07,0.00140397649676713
"FBgn0034329",3.04232032234144,9.01842554527468,2.97102425039586,8.45157257495241,123.728334714287,8.44120917619873e-07,0.00142587188964739
"FBgn0067905",2.52019055366249,5.97470320597914,2.22581876827577,7.00254637158142,120.504922284569,9.31111781356631e-07,0.00142587188964739
"FBgn0040736",1.87497176630374,7.55565983361198,1.37734713169787,8.85745684078381,117.772471532903,1.01389326118563e-06,0.00142587188964739
"FBgn0040653",2.21891003968113,6.01338827866646,2.21070806426602,9.10319741410745,113.102059310792,1.17815545442096e-06,0.00149119135866062
"FBgn0025583",2.37144263168139,7.00943583525087,1.83712470303499,8.86084186439148,103.640568605826,1.62843549860701e-06,0.00187373710053354
"FBgn0053470",2.17090150979112,6.41710124362688,1.62273716153504,10.3114716609329,94.7507568034299,2.268453435622e-06,0.00220869166004522
"FBgn0283462",2.17080881894119,6.41707466755392,1.62272075363385,10.3114873678551,94.7497051726524,2.26854638386568e-06,0.00220869166004522
"FBgn0034511",2.36177224513763,6.02239137444799,2.04572554005852,8.24882857086252,91.830361147183,2.54624400256287e-06,0.00230198645288845
"FBgn0040609",-2.84486008098687,-1.54313926981805,-1.35019066243193,5.1022821127837,85.2708559471466,3.34561081638797e-06,0.00259291237371541
"FBgn0283461",2.8049990874646,7.58867481723371,3.40267219745038,8.42715813934237,84.859714234488,3.40564238477645e-06,0.00259291237371541
"FBgn0283427",-2.53510104194401,-1.61554917328772,-1.77464773794365,10.1022311632826,83.3189752983811,3.64308084155789e-06,0.00259291237371541
"FBgn0050098",6.75310874287012,4.67364853532579,3.16465637740236,1.94866348907284,83.0449374840269,3.68747908089415e-06,0.00259291237371541
"FBgn0040582",1.81833504060742,3.53377463951599,1.6584950334985,7.66053170397764,81.5836509000833,3.93612393685645e-06,0.00262208003519958
"FBgn0028396",3.38780442452451,5.58675885107531,4.35498359312702,8.39714139614458,71.9505479239983,6.23948075547103e-06,0.00390257426437515
"FBgn0039298",-3.02023126954738,-4.2835196375534,-2.58792010460984,7.0051571528298,71.2253525859714,6.47499877947998e-06,0.00390257426437515
"FBgn0010388",3.34876013912153,11.139416451608,3.99482619288949,8.00300107952083,65.8583664982098,8.61922134391534e-06,0.00495879475226984
"FBgn0044810",2.81102401032711,2.82670199472215,3.31223485909501,5.6771158329059,64.4864772448499,9.30640538633698e-06,0.00512135534673335
"FBgn0034328",3.40426379049259,10.6284788895819,3.12492129176913,7.3037414939158,63.0453162361745,1.01045620656915e-05,0.00532889341939407
"FBgn0283480",2.64515628391766,2.48883992758513,1.52781622469879,6.81832550502101,58.6642036606797,1.31268450294669e-05,0.00645328893417906
"FBgn0040735",1.81837308089793,2.82487633070284,2.02473498029758,6.1884292147059,58.5056424755001,1.32563413359134e-05,0.00645328893417906
"FBgn0038914",-5.37225388747324,-2.97991879948626,-1.60664274398044,3.13687820358783,57.4689629431476,1.41439937221477e-05,0.00663038994597121
